"STT","ID đối tượng","Tên đối tượng","Mô tả","WGS84 - Lat","WGS84 - Long","W - H","VN2000 - X","VN2000 - Y","V - Z","ID bản đồ","Hình dạng","Màu sắc","Kh.cách"
"1","ID1","Vị trí 1","Mô tả 1","21.034870","105.795905","41.87","2327024.8202","582542.7346","17.95","vn2000-wgs84","tron","vang",""
"2","ID2","Vị trí 2","Mô tả 2","21.038288","105.800506","41.86","2327405.6402","583019.0852","17.94","vn2000-wgs84","tron","vang","609.86"
"3","ID3","Vị trí 3","Mô tả 3","21.030412","105.796296","41.84","2326531.4950","582585.8870","17.94","vn2000-wgs84","tron","vang","975.60"
"4","ID4","Vị trí 4","Mô tả 4","21.040138","105.805528","41.85","2327612.9937","583540.1213","17.94","vn2000-wgs84","tron","vang","1442.29"
"5","ID5","Vị trí 5","Mô tả 5","21.035837","105.803618","41.84","2327135.8658","583343.9889","17.94","vn2000-wgs84","tron","vang","515.87"
"6","ID6","Vị trí 6","Mô tả 6","21.032709","105.801762","26.20","2326782.6025","583152.7807","0","vn2000-wgs84","tron","vang","401.69"
"7","ID7","Vị trí 7","Mô tả 7","21.036948","105.796182","26.24","2327248.9790","582570.4410","0","vn2000-wgs84","tron","vang","746.07"
"8","ID8","Vị trí 8","Mô tả 8","21.032140","105.798213","26.21","2326717.7658","582784.2263","0","vn2000-wgs84","tron","vang","572.62"
"9","ID9","Vị trí 9","Mô tả 9","21.033573","105.797936","26.22","2326876.2158","582754.5819","0","vn2000-wgs84","tron","vang","161.20"
"10","ID10","Vị trí 10","Mô tả 10","21.037092","105.796492","26.24","2327265.0700","582602.6040","0","vn2000-wgs84","tron","vang","417.50"
"11","ID11","Vị trí 11","Mô tả 11","21.035105","105.799242","26.22","2327046.5928","582889.4875","0","vn2000-wgs84","tron","vang","360.60"
"12","ID12","Vị trí 12","Mô tả 12","21.033589","105.799255","26.21","2326878.6538","582891.7429","0","vn2000-wgs84","tron","vang","167.95"
"13","ID13","Vị trí 13","Mô tả 13","21.038214","105.795602","26.25","2327388.9400","582509.4760","0","vn2000-wgs84","tron","vang","637.59"
"14","ID14","Vị trí 14","Mô tả 14","21.029208","105.798758","26.20","2326393.3797","582842.5096","0","vn2000-wgs84","tron","vang","1049.79"
"15","ID15","Vị trí 15","Mô tả 15","21.035587","105.797230","26.23","2327098.8611","582680.1209","0","vn2000-wgs84","tron","vang","723.93"
"16","ID16","Vị trí 16","Mô tả 16","21.033507","105.799671","26.21","2326869.8709","582935.0343","0","vn2000-wgs84","tron","vang","342.66"
"17","ID17","Vị trí 17","Mô tả 17","21.034138","105.796028","26.23","2326937.7910","582555.9540","0","vn2000-wgs84","tron","vang","385.12"
"18","ID18","Vị trí 18","Mô tả 18","21.030921","105.798429","26.20","2326582.8615","582807.3624","0","vn2000-wgs84","tron","vang","434.95"
"19","ID19","Vị trí 19","Mô tả 19","21.038873","105.799784","26.24","2327464.0334","582943.8425","0","vn2000-wgs84","tron","vang","891.68"
"20","ID20","Vị trí 20","Mô tả 20","21.033851","105.793688","26.23","2326904.7940","582312.9370","0","vn2000-wgs84","tron","vang","843.08"
"21","ID21","Vị trí 21","Mô tả 21","21.041941","105.802930","26.24","2327805.3269","583269.1101","0","vn2000-wgs84","tron","vang","1313.48"
"22","ID22","Vị trí 22","Mô tả 22","21.034631","105.795983","26.23","2326992.3300","582551.0634","0","vn2000-wgs84","tron","vang","1084.69"
"23","ID23","Vị trí 23","Mô tả 23","21.037641","105.801386","26.23","2327328.4835","583110.9347","0","vn2000-wgs84","tron","vang","653.04"
"24","ID24","Vị trí 24","Mô tả 24","21.032789","105.797098","26.22","2326789.0540","582667.9610","0","vn2000-wgs84","tron","vang","698.00"
"25","ID25","Vị trí 25","Mô tả 25","21.036852","105.803200","26.22","2327242.0247","583299.9342","0","vn2000-wgs84","tron","vang","777.54"
"26","ID26","Vị trí 26","Mô tả 26","21.031125","105.800391","26.20","2326606.5206","583011.2048","0","vn2000-wgs84","tron","vang","698.02"
"27","ID27","Vị trí 27","Mô tả 27","21.031976","105.795637","26.22","2326698.2930","582516.5720","0","vn2000-wgs84","tron","vang","503.07"
"28","ID28","Vị trí 28","Mô tả 28","21.032773","105.798716","26.21","2326788.0933","582836.1261","0","vn2000-wgs84","tron","vang","331.93"
"29","ID29","Vị trí 29","Mô tả 29","21.033038","105.798421","26.21","2326817.2703","582805.3814","0","vn2000-wgs84","tron","vang","42.39"
"30","ID30","Vị trí 30","Mô tả 30","21.031749","105.795112","26.22","2326672.8100","582462.1120","0","vn2000-wgs84","tron","vang","372.43"
"31","ID31","Vị trí 31","Mô tả 31","21.035331","105.797776","26.23","2327070.7904","582736.9986","0","vn2000-wgs84","tron","vang","483.68"
"32","ID32","Vị trí 32","Mô tả 32","21.033324","105.800157","26.21","2326849.8111","582985.6254","0","vn2000-wgs84","tron","vang","332.64"
"33","ID33","Vị trí 33","Mô tả 33","21.037983","105.796222","26.24","2327363.6860","582574.0470","0","vn2000-wgs84","tron","vang","658.38"
"34","ID34","Vị trí 34","Mô tả 34","21.028374","105.798904","26.19","2326301.1203","582858.1479","0","vn2000-wgs84","tron","vang","1099.89"
"35","ID35","Vị trí 35","Mô tả 35","21.035852","105.797268","26.23","2327128.2166","582683.9901","0","vn2000-wgs84","tron","vang","845.23"
"36","ID36","Vị trí 36","Mô tả 36","21.034079","105.799952","26.21","2326933.3527","582963.9207","0","vn2000-wgs84","tron","vang","341.08"
"37","ID37","Vị trí 37","Mô tả 37","21.033578","105.794802","26.23","2326875.1450","582428.8810","0","vn2000-wgs84","tron","vang","538.20"
"38","ID38","Vị trí 38","Mô tả 38","21.031701","105.801128","26.20","2326670.6003","583087.4326","0","vn2000-wgs84","tron","vang","689.59"
"39","ID39","Vị trí 39","Mô tả 39","21.038411","105.800420","26.23","2327413.1935","583010.1192","0","vn2000-wgs84","tron","vang","746.61"
"40","ID40","Vị trí 40","Mô tả 40","21.030813","105.796392","26.21","2326569.8450","582595.6790","0","vn2000-wgs84","tron","vang","939.68"
"41","ID41","Vị trí 41","Mô tả 41","21.041667","105.802811","26.24","2327774.8707","583256.8987","0","vn2000-wgs84","tron","vang","1374.52"
"42","ID42","Vị trí 42","Mô tả 42","21.036948","105.805669","26.21","2327253.8825","583556.5982","0","vn2000-wgs84","tron","vang","601.04"
"43","ID43","Vị trí 43","Mô tả 43","21.032362","105.802532","26.20","2326744.6102","583233.0426","0","vn2000-wgs84","tron","vang","603.36"
"44","ID44","Vị trí 44","Mô tả 44","21.037122","105.796656","26.24","2327268.5390","582619.6470","0","vn2000-wgs84","tron","vang","806.69"
"45","ID45","Vị trí 45","Mô tả 45","21.036361","105.802953","26.21","2327187.5310","583274.5485","0","vn2000-wgs84","tron","vang","659.89"
"46","ID46","Vị trí 46","Mô tả 46","21.031736","105.799775","26.20","2326673.8041","582946.7579","0","vn2000-wgs84","tron","vang","609.39"
"47","ID47","Vị trí 47","Mô tả 47","21.037354","105.796282","26.24","2327294.0780","582580.6310","0","vn2000-wgs84","tron","vang","720.27"
"48","ID48","Vị trí 48","Mô tả 48","21.031835","105.794222","26.22","2326681.8710","582369.5540","0","vn2000-wgs84","tron","vang","647.57"
"49","ID49","Vị trí 49","Mô tả 49","21.032274","105.799274","26.21","2326733.1292","582894.4736","0","vn2000-wgs84","tron","vang","527.42"
"50","ID50","Vị trí 50","Mô tả 50","21.033708","105.799054","26.21","2326891.7688","582870.7816","0","vn2000-wgs84","tron","vang","160.40"
"51","ID51","Vị trí 51","Mô tả 51","21.033897","105.795767","26.23","2326911.0360","582529.0260","0","vn2000-wgs84","tron","vang","342.30"
"52","ID52","Vị trí 52","Mô tả 52","21.033534","105.801281","26.21","2326873.6427","583102.3630","0","vn2000-wgs84","tron","vang","574.56"
"53","ID53","Vị trí 53","Mô tả 53","21.035543","105.797223","26.23","2327094.0392","582679.4498","0","vn2000-wgs84","tron","vang","476.90"
"54","ID54","Vị trí 54","Mô tả 54","21.033303","105.800184","26.21","2326847.5345","582988.4536","0","vn2000-wgs84","tron","vang","395.28"
"55","ID55","Vị trí 55","Mô tả 55","21.032474","105.797512","26.21","2326754.3220","582711.1790","0","vn2000-wgs84","tron","vang","292.52"
"56","ID56","Vị trí 56","Mô tả 56","21.034437","105.806198","26.20","2326976.1916","583612.9503","0","vn2000-wgs84","tron","vang","928.66"
"57","ID57","Vị trí 57","Mô tả 57","21.039490","105.800559","26.24","2327532.7413","583023.9817","0","vn2000-wgs84","tron","vang","810.33"
"58","ID58","Vị trí 58","Mô tả 58","21.032560","105.795887","26.22","2326763.0050","582542.2360","0","vn2000-wgs84","tron","vang","908.06"
"59","ID59","Vị trí 59","Mô tả 59","21.032894","105.796192","26.22","2326800.1330","582573.7170","0","vn2000-wgs84","tron","vang","48.68"
"60","ID60","Vị trí 60","Mô tả 60","21.034387","105.800078","26.21","2326967.4546","582976.8347","0","vn2000-wgs84","tron","vang","436.46"
"61","ID61","Vị trí 61","Mô tả 61","21.033602","105.799592","26.21","2326880.3580","582926.7479","0","vn2000-wgs84","tron","vang","100.47"
"62","ID62","Vị trí 62","Mô tả 62","21.036722","105.799581","26.23","2327225.7667","582923.8858","0","vn2000-wgs84","tron","vang","345.42"
"63","ID63","Vị trí 63","Mô tả 63","21.035680","105.798391","26.23","2327109.7435","582800.7797","0","vn2000-wgs84","tron","vang","169.16"